,Paylaþým
1355,"Sýkmayýn canýnýzý, kaybedeceksek sizin hatalarýnýzla kaybedelim. Gocunmayýz.. Her zaman yanýnýzdayýz."
1356,Daha Ne Bekliyorsunuz 
1357,belhanda'nýn pas istediði pozisyona bak aq siktirgit þu takýmdan sikik
1358,Bir kadýn nasýl giyinirse giyinsin sen ona o sikik arabanla korna çalýp laf atamazsýn
1359,Umpah umpah stilisten daha igrwnc daha sikik bi stilist gelir mi diye cok sormuþtum kendime geliyomuþ demekki igrenc bok gibi accccccayip basit duruyp hiç revel havasi yok ayrica seulgi mutasyon gecirmis gibi duruyo
1360,Bu gece fena barýþ antisiyim edeceðim küfürleri mazur görünüz sms rahatlýðýyla sikik sikik konuþuyo amk ayar oldum bmyfc alýn gurur duyun yarattýðýnýz balonla aq
1361,Akþama kadar yaz anca amk götveren pkk yandaþý seni.Bacýný örgüte kaçýrýp üst üste skmiþler sen hala burada oyalan.Köyünde anan eþþeklerle sex partisi versin babanda kahvede saksodan saksoya koþsun sen de burdan yarrak ara sikik.
1362,bak isine sikik kahpe
1363,Sensin lan gereksiz sikik
1364,hele orospuya bak hele Twitter kapansa böyle sikik sikik þeyleri ananýn amindanmi yazicaksin
1365,"Yarram tabi dolduramaz sikik gibi konuþma, yeni geleni destekle takimin için. Amýný beynini siktigim"
1366,"Ýnþallah seni önce Allah çarpar, peygamber tokatlar, firavun siker. Göt lalesi o burnundaki topu götüne sokayým. Sikik günler diliyorum."
1367,Senin allah belaný versin ya. Siktir git kendin iç sigaraný amk karýsý. Gülüyo bi de sokuk.
1368,BÝZDE DEÐÝLMÝ AMK SOKUK HAMSÝSÝ
1369,Ömrü hayatým da böyle sokuk bir ülke görmedim!
1370,bundan daha iyi bi göt oluþ hikayesi görmedim..
1371,12 bin yýllýk tarihin katlediliþi
1372,"Ee, yediniz içtiniz, konuþun bakalým! "
1373,Bu kadar yüzsüzlük fazla ya artýk.
1374,"12000 yýllýk çanak parçasý bulunsa,müzeye koyup sergiliyorlar tarihi eser diye."
1375,bir insan nasýl bu kadar içine edebilir
1376,Tarih nasýl yok edilir adlý çalýþma
1377,12000 yýllýk tarihten geriye kalan bu video anlýk çekilmiþtir
1378,Ýyiye güzele dair ne varsa yakýp yýkýyorlar.
1379,"suyun akýþýný deðiþtireyim derken, tarihin akýþýný deðiþitirdiler."
1380,"Saygýsýz, zevksiz, beceriksiz, acýmasýz, kýymet bilmez yok ediciler"
1381,Bugünümüze ve geleceðimize sahip çýkmaya çalýþýrken ne yazýk ki geçmiþimiz beton yýðýnlarý altýnda kalmýþ
1382,"Tarih yazmak, tarih yapmak kadar mühimdir. Yazan yapana sadýk kalmazsa deðiþmeyen hakikat insanlýðý þaþýrtacak bir mahiyet alýr"
1383,"Kopenhagda buluþan Fransa Cumhurbaþkaný Macron ve dönemin Danimarka Baþbakaný Rasmussen, bisiklet kullanarak þehri gezdiler."""
1384,Ne çok istemiþtim görmeyi. Tarihi dokusu bozulmadan fýrsat yaratýp gitmediðime çok piþman oldum.
1385,"Mimarsýz Mimarlýk, Mimarlý Mimarlýktan fersah fersah ileridedir"
1386,Gerçekten çok yazik bunlarýn refah için yapmayacaðý kötülük yok
1387,Güzel olan ne varsa yakýp yýkarlar zaten
1388,Ýflah olmaz çomarlarsýnýz binlerce yýllýk tarihi beton yýðýnýna çevirmiþsiniz utanarak bakýyorum
1389,Katil
1390,7 yaþýnda ailemle birlikte gitmiþtim o yaþýmda baya etkilenmiþtim þimdi görünce duygulandým
1391,"Ülkenin gördüðü en büyük vandallýk, düþmanlýk, vatan hainliði.. Siz niye böylesiniz. Abv "
1392,"Sizler """"gerizkâlý"""" ve """"cahil"""" sözünün tam karþýlýðýsýnýz !"
1393,"Ýçim yanýyor içim, bildiðin gibi deðil..."
1394,Yatacak yeriniz olmasýn
1395,cardi b yakinda hurrem kostumu giyecek offset de suleyman olur sadece bekleyin
1396,ayný duygularý paylaþýyoruz
1397,sana aþýðým
1398,türk olsaydý profili demet akalýn gibi olurdu
1399,vahide gördümün hurremi canlandýrdýðý bölümlere gelince üzülür
1400,Nurbanudan nefret ediyorum.
1401,þehzade mustafanýn ölümünde aðladý mý 
1402,sana bayýlýyorum çýlgýn bir þekilde
1403,biri de cardi b'nin tweetinin altinda demis ki ben turkum ama turk dizileri kotu.. sus oc birak reklam yapalim
1404,amerikanin kürt cingenesi deðilse bende bisey bilmiyorum
1405,Manyak gibi pusuya yattým bekliyorum cardi b nin Hürremin ölümünde nasý tepki vereceðini
1406,bu da kafayý yedi
1407,sen benim ruh ikizim misin
1408,ablacim git bi lazer yaptir artik her yerine her gun bi yerine agda yaptirdigin ciyak ciyak storyleri izlemekten biktim aq
1409,9 ay karnýnýzda taþýyor olmanýz çocuk üzerinde istediðiniz her eylemi gerçekleþtirebileceðiniz anlamýna gelmiyor.
1410,kardeþine zorla sigara içirmeye çalýþýyor.
1411,Betül aþçý tutuklasýn
1412,Küçücük masum temiz bi çocuða hangi akýlla yaptýrýlýr bu! Bu gibi ailelerin elinden çocuklarý alýnmalý!
1413,bu pislik tutuklansýn!
1414,Betül Aþçý gibi ahlak yoksunu çoðu kiþi böyle. fýrlamalýk adý altýnda yapýlan bu rezillik cezasýz kalmamalý.
1415,TikTok olmasa bu türleri göremeyecektik. Bunun adý iþkencedir. Ýki yorum bilmem kaç izleme alacaðýz diye yapmadýklarý pislik yok
1416,"Ýþte o minik çocuðun maruz kaldýðý hareketler, çocuk istismarýdýr."
1417,iðrençsin yaþýndan utan
1418,Bu kadýnýn yaptýðý da çocuk istismarýdýr. 
1419,Çocuk istismari sadece pedofili deðildir.
1420,Ýkisi de ana. Ama hangisinin ayaklarýnýn altýnda cennet var ona siz karar verin.
1421,Bu da çocuk istismarýnýn farklý bir versiyonudur. Bu defa çocuðu katletmemiþler ama çocuðun geleceðini katletmiþler
1422,artýk bundan sonra hiçbir þeye þaþýrmam diyorum yine þaþýrtýyorlar...
1423,Ýnsan olmak deðil de insan kalabilmek mesele
1424,"Psikoloji okudum çok iyi tahmin edebiliyorum kamera önünde bir çocuða bunlarý yapan yaratýðý psikolojisini"""
1425,Sana Allah akýl fikir versin
1426,Piþmaným der salýverirler.
1427,çocuðu sigara içiririm yoksa diye tehdit etmek nedir ? o yaþta bir çocuk küfür etmeyi nasýl öðrenir ?
1428,Bu ahlaksýz baþörtülü olsaydi neler derlerdi
1429,Þuan binlerce kiþi nasýl havladý var ya...... Batýdan emir Bi gelirdi gör ortalýðý
1430,Bak bu ayaðý öpülesicer Ana Anne
1431,Bu kadýnýn elinden bu çocuk alýnmalý böyle bir istismara ve ihmale uðramayý hiç bir çocuk hakketmiyor.
1432,Allah ýslah etsin
1433,Bu ülkede psikopat bitmez abi neyin kafasýný yaþýyosunuz siz
1434,sizin gibi gençlere yazýklar olsun
1435,Sen nasýl bir yaratýksýn? Pislik rezil kadýn...dilerim en yakýn zamanda layýk olduðun yeri bulursun
1436,onlara bu normal gözüküyor burada da kadýna þiddet özendiriliyor. Where is adalet?
1437,Siz kafayý yemiþsiniz gerçekten
1438,Herkesin hikayesi çok Osman'ýn hikayesinin ise bu kadar az iþlenmesi
1439,"Üzgünüm, söyleyeceklerim bu kadar"
1440,Osmanýn para hakkýnda yaptýðý konuþmayý hatýrlýyor musunuz? Paraya çok önem veriyor çünkü hayatta kalmasý için para lazým
1441,babasýyla iliþkisi belki de en düzgün karakter olmasýna raðmen aralarýnda adý konulamayan bir mesafe olmasý. #Aþk101 h
1442,diðer ailelerin hata olarak görüp sinirlendiði bir durumda dahi babasýnýn osmanla gurur duyduðunu gösterme isteði
1443,gerçekten eþcinsel bir karaktermiþ ama gösterilmesine izin vermemiþler
1444,"Senaryolar okutulmuþ, neden bu sahnenin senaryosu"
1445,üzümlü kekim. Aþkta bulamadýðýný para da buluyordun sen
1446,Seni sevmek bi ayrýcalýktý.
1447,gözyaþlarýmý tutamýyorum.
1448,bu esprinin gerçek çýktýðýna inanamýyorum
1449,dizide bir kadýnýn parmaklarýný kýrsa izin verirdiniz ama siz busunuz çünkü
1450,ben bu aþkýmýza olan inancýmý kaybettim
1451,"baþka bi coðrafyada hikâyenin tamamlanmasýný izlemek isterdim, yarým kaldýn"
1452,Ben sadece aðlamak istiyorum daha farklý olabilirdi resmen oldurtmadýlar
1453, Anlamýþtýk...Bu bakýþlarýn bir anlamý varmýþ demek
1454,Beraberken her þeyi unuttuðunuz insanlar.
1455,Ben bu hayatta en çok sana saygý duydum 
1456,Hani anlamýyordun aþk meþk dalgalarýndan?
1457,Kardeþim ne kadar LGBT meraklisiymissiniz be kesilmis kesilmemis ne uzattiniz madem cok istiyorsunuz gidin elite izleyin ibne seviciler
1458,çok güzel gençlik dizisi
1459,Aþk da zaaflarýn en kötüsü kendine saygýný yitiriyorsun
1460,"Edayla Keremin Sinanýn evinde bi yerlerde seviþmesinde sorun yok, Osmanýn Sinana platonik aþkýnda sorun var."
1461,yapýlýr mý bu bize biz seni devlet baþkaný yapacaktýk 
1462,"Dizilerde o kadar tecavüz, taciz, þiddet içerikli sahneler varken neden Osman'ýn eþcinsel muhabbeti bu kadar gündem oldu? "
1463,eda öðretmeniyle seviþir sorun yok ama osman eþcinsel sorun var amkkkkk kafaya bak hangi kafa bu
1464,Okuldaki salaklara karþý ben; 
1465,bardakta mýsýr satýþý yaparak ne kadar kazanç elde edersiniz? 
1466,her kadýn þiddeti içeren diziyi sansürlemeden ekranlara koyarken bir eþcinsel hikayesi anlatan diziyi yayýnlatmaman
1467,Sevgilinle fýndýk yiyebilirdin
1468,BU METAFOR NASI GERÇEK ÇIKTI
1469,"televizyonlarda çarpýk iliþkili, þiddet eðilimli, tecavüz, taciz sahneleri olan birsürü dizi varken gay karakterin dizisi yapýlamadý"
1470,Dr. Serdar Savaþ Cumhurbaþkanlýðýna adaylýðýný açýkladý
1471,aðzýnda ki baklayý çýkarmýþ ha þöyle yola gel
1472,"kazanamayacaksýn. Üstüne sana oy atacak bir kýsým gençle , karþý durduðun bozuk düzenin ekmeðine yað sürüyorsun"
1473,"Serdar Savaþ Cumhurbaþkanlýðýna Adaylýðýný açýklamýþ, Haydi milyonlarýn umudu Ajdar sýra sende"
1474,"Þu hareketlere, üsluba bakýn. Dr. Serdar Savaþ karþýsýndaki profesöre """"geri zekâlý"""" diye hakaret ediyor."
1475,Gençler nasýl gaz verdiyse artýk adam Cumhurbaþkaný adayý olacak
1476,Bir ben kaldým aday olmayan. Evet arkadaþlar an itibariyle eksik kalmýyor
1477,Güne bu kadar  güzel bir haber ile baþlamak mükemmel
1478,bi dur Allahýný seversen zaten ortalýk karýþýk
1479,40 yaþ altý vakalarýn hiç birinin ölmeyeceðine bahse girerim. Ýsterseniz hepinizle bahse girerim.
1480,Yarrak isteyen bayanlar Dm ye gellll
1481,güven sikici Swinger Mature
1482,sikiþ
1483,erotik
1484,sanalsex
1485,azgýn sikici
1486,sikiþ
1487,bok yiyin siz yarrak yiyin yeter be
1488,"4,""Sanal seven telde konuþabilecek kizlar dm sikici sikiþ erotik sex  sik am seks sanalsex"
1489,yarrak gibi olsam öper baþýma korum diyecem ama olay çok çirkinleþiyor
1490,Yarrak mümkün
1491,Ýþte sünnetsiz yarrak
1492,Ben  yarrak çiziyorum
1493,Hiphpopcilarda böyle bi Yarrak var soggarlar ha
1494,Yarrak isteyen bayanlar Dm ye canýmm
1495,Yarrak kafalý seni
1496,Batman da gerçek bir escort veya ücretli seks yapan bir bayan numarasý atabilenler
1497,Yarrak  koy  daha  iyi
1498,tc insaný yine yarrak gibi kýyaslama yapmýþ.
1499,yarrak gibi adamlar blok
1500,"Hayýr annem bize dedi ki yarrak yalayýn"""
1501,En fazla yarrak denk gelir oda benlikk
1502,Azgýnn Kapalý bi kadýn var mý? :)
1503,yarrak gibi oyuncuyu basimiza bela ettiler
1504,Neden çocuðuna yarrak diye isim koyarsýn ki amk
1505,Yani yarrak gibi adam sevmeyende ne bileyim
1506,"2 kere fiziksel tacize maruz kaldým ikisinde de yanýmda arkadaþlarým vardý ve iþlek semtler, normal saatlerde"
1507,Ýki türlü de yarraðýma benziyor týraþlý yarrak týraþsýz yarrak
1508,yarrak kelimesi Türkçe'de önüne geldiði fiile olumsuzluk eki getirir..
1509,Yarrak gibi sabah dedim ya boþverin günüm þimdiden güzelleþti
1510,Buyuk ve kalin yarrak icinize girdiginde zevki arttirmaz daha cok aci verir 
1511,Got deligi
1512,Yarrak gibi sabah
1513,He yarrak aynn
1514,got karýlar benden yarrak yok allahýndan bulsunlar
1515,Yarrak kafalý kýz takipten çýkýp niye hâlâ beni stalklýyosun
1516,Yarrak yesek daha iyi amk
1517,yarrak gibi bir yer olmuþ beton seveni sikimm
1518,Yarrak 2 side yaptý orospu evladi seni 600m borç var basketin yaptýgý max 20 30 senin kafaný sikim
1519,amcýk sensin yarrak barýþ manço þarkýsý da gayet iyidir
1520,yarrak kafalý
1521,Sende 20 sene önce ananýn amýndaydýn ama bak þimdi yine amcýk amcýk konuþuyorsun
1522,Gerçekten sikilmek isteyen  REEL Ýstanbul yok mu
1523,memeni aðzýma vermek ister misin :)
1524,azdým azgýn sanal seks ensest
1525,Bak bak amcýk aðýzlýlara bak lise böyle bir yer deðil demiþler.Ulan salaklar bunu izleyenler liseye gidiyor
1526,Offff ne yalanýr þimdi bu amcýk
1527,ne zaman görüþ belirtsem yanýk diyon amcýk. seni alev topuna dönmüþ yarragýmýn üstüne oturtacam ilk fýrsatta
1528,Gercekten sikiþmek isteyen kiþi herturlu yarak bulur erkekler amcik bulamaz onlar icin zor
1529,Amcýk süper
1530,Salak amcýk
1531,ne dobralýðý amcýk
1532,Küfür ederiz böyle çok yaratýcýdýr benim favorim amcýk beyinli ve mükemmmmmel linç yeriz uzun lafýn kýsasý
1533,Aminakoyim neyin bilgisizligi amcik seni. Kusura bakma aminakoyim
1534,amcik mes beni engelledi bi kafam rahatladý keske önceden ben yapsaymýsým
1535,kopmalýk amcýk þarkýlar
1536,ya amcýk sence gelebilsek bu kadar ay bekler miydik sadece soruyorum
1537,amcýk bu nasýl cevap yanlýs kisiye cevap yazdým sandým
1538,Gerizekalý amcýk sence böyle bir þey mümkün olabilir mi
1539,Bu Amcýk Hasta Yanlýz
1540,boyle hayatin neyine sukredeyim amcik orospu evladi ben ya da bi baskasi yarini nasil gecircez bu ayi cikarabilcez
1541,31 çekmeye li çok zaman oldu amcýk sikiyoruz zaten
1542,Ne yapiyorsun amcik 
1543,Güzel olmadýðýnýz kadar amcýk beyinliler tarafýndan abartýlýyorsunuz da
1544,sanada günaydýn amcýk günüm çok iyi senin nasýl
1545,ben gorduysem sen de gor amcik
1546,Ya amcýk playliste 30 þarký ekledim karýþýða bastýðýmda itina ile sürekli eski þarkýlarý açma artýk amk
1547,Sg gunese falan sýk sen amcik
1548,Acarlar merak etme sende güzel amcik varken
1549,Ýstatistik kurumu saymayýp napsýn amcýk
1550,Biz tam kadromuyduk gecen sene amcik. Ardada olmasa beni sokcaktilar kalece. 12 eksikle cikmistik maca
1551,amcýk tw kaydýrmýþ fotoyu
1552,Amcik ne güzel yatmýþ öyle
1553,ya bi sus amcik
1554,Amcik göt meme am göt liseli liseli sikis olgun porn türbanlý sikiþ liseli kýzlar brazzers liseliifþa ensest sikiþ türkporn
1555,amýna kodumun salaðý gerizekalu amcýk sence eþcinsellik böyle bir þey olabilir mi
1556,lan amcýk sakýn hasta olma basýna bela olurum
1557,Çok güzle amcik yalarým býkmadan
1558,Hayýrdýrlan amcýk ne zannediyorsun kendini gel sikwyim beynini
1559,götünü siktiðim antifeministi vallahi kafayi yedirtti bana amcýk kendimi kemiriyom valla sinirden duvarlara kafami vurucam
1560,Bok. Ye kocana niye boynuz takýyorsun amcik
1561,amcik attigimda tepki vermion burda mi verdin amck
1562,Kullandýðýn platform herkese açýk bir yer ve herkes senin saçma sapan siktiri boktan düþüncelerini görmek zorunda
1563,sana bi amcýk lazým
1564,Amcýðýn çok þiþik deðil doymuþ bir amcýk
1565,Amcýk yalatmak isteyen varmý dilimle boþaltýrým
1566,amnkodumun çocuðu gerizekalý amcýk sence bu gerçek olabilir mi
1567,reddedildin amcik
1568,Canim ben zevkle sikerim bende sikecek amcik ve got ariyorum antepdeyim ya siz
1569,mal amcik.
1570,Sendeki amcik kimsede yok 
1571,Offff ne yalanýr þimdi bu amcýk
1572,Salak amcýk
1573,Aminakoyim neyin bilgisizligi amcik seni. Kusura bakma aminakoyim
1574,Bu amcik boþ kalýr mý
1575,Merakla beklediðiniz dizinin yeni sezonu yayýnlanmýþ.
1576,"Vaka sayýlarýmýzda azalma sürüyor. Dikkatli olmalýyýz: Azalmalar yavaþ, artýþ hýzlý gerçekleþiyor. "
1577,Ýzmirde bir uyuþturucu çetesi daha çökertildi!
1578,Sokak satýcýlarýný koordine eden Alabaylar Çetesine bir yýllýk takip
1579,"Ak ya da kara deðildir her þey, arada hayatýn gri tonlarý da vardýr..."
1580,Hocam direnç nereleri?
1581,"Hanýmefendi, sizi yaptýðýnýz her þey için gönülden tebrik ediyorum"
1582,Pamuk gibi oldum
1583,Hakkýmýz olaný istemekten yorulduk. AÇIKLAMA  ÝSTÝYORUZ.
1584,söylede arkadas yazssin bi evrak
1585,"Sana bahtsýz aþýk Pervane ile Kaf daðýnýn ardýndaki soylu ama kalpsiz Þem in hikayesini anlatayým mý, dinler misin"
1586,hadi ayfc dewamkee durmak yok
1587,"Salgýnla mücadelede, dün 1.086 yeni hastamýz ve 16 can kaybýmýz vardý. Hastalýða bugün yakalanacak olanlarýn sayýsýný"
1588,þu þarkýlar yüzünden birine aþk acýsý çekiyorum ama kime yani onu bir öðrenebilsem harika olacak kendimi deðil onu darlayacaðým mümkünse
1589,"Vatan ki; bu insanlarýn evidir. Sevgilim, onlar vatana düþman!..."
1590,instagramda Maraþ haberine alýnýp bana salvolar sallayan arkadaþlar var.
1591,azarda adamý azdýrmaya çalýþan kaþar
1592,Arkadaþlar þöyle bir þey yapsak bugün herkes 10lira yollasa officialin ibanýna yüz kiþi katilsak beraber bin lira bin kiþi
1593,Yengeç erkeði temsili.
1594,Yasin elenirse yarýþmanýn kurgu olduðuna inanmamam için hiç bir sebep kalmaz.
1595,Desteðiniz için teþekkür ederiz
1596,"Koç 12. ev olunca, kiþinin karmik geçmiþten getirdiði bir """"özgürlük ve mücadele"""" hýrsý oluyor."
1597,Ahahahahahahahahah senin siyah tiþörtle deðiþmiþtik...
1598,Adli mahkum Verilen sözlerin yerine getirilmesini bekliyor
1599,Normalde kelimelere karþý asla kopya muamelesi yapmam malum ayný isimle tonlarca þarký var.
1600,Cinsel þaka tweeti
1601,Soru sordum nargile mi diye :)
1602,Çok mantýklý konuþurum ama hiç mantýklý hareket etmem
1603,Uzmanýndan dikkat çeken 'altýn' açýklamasý
1604,Sabah gunaydin  demeyi Selamlaþmayý seviyorum  Sende twetercým..
1605,"Tüm günümün aydýn geçmesi için temennide bulunan ve bulu"""
1606,"Anasýný bellediler, içinden geçiyolar"
1607,5 tane problem çözdüm ilk gün için yeterli diye düþünüyorum ???
1608,"Birileri çoklu baro sistemine geçiþe karþý çýkarken akl-ý selim bahane bulamayýnca dibini kadar zaten si"""
1609,"Kanatlandý umudumun kanatlarý,"
1610,Bana renk ver hayat...
1611,Bana can kat tekrardan baþlat beni!
1612,"Elim ayaðýmýn takâti yokken,"
1613,Aþýrý cringe aþýrý
1614,Türkiye Cumhuriyeti hükümeti Ayasofyayý Cami olarak Açacak.Ýnþallah
1615,UPS de Türkiye'deki en iyi kargo þirketi aslýnda
1616,þu isim soyisim numara olayý bir arkadaþýmýn yavuklusuyla arasýný bozdu salak erkekler hiç düþünmüyorlar karþýsýnda
1617,göreve çaðýrýyorum 1.300 daire yi maðdur etme hakkýnýz yok
1618,Þu röportajý izlerken benim boðazým düðümleniyor. Haydi herkes bir yetkili etiketlesin
1619,Çok sag ol'un efenim 
1620,Su an sakso cekebilecegim kimse yok mu
1621,"Okumuþun cahili, acemi çomara benzer. Saða sola boþuna havlayýp sürüye kurt getirir. Ortalýkta bu kadar kurt dolanýyo"
1622,Konut kredinde yüksek faiz  ödemek istemiyoruz Yapýlandýrma bekliyoruz.
1623,"99 Depreminde günlerce Ankara'dan Sakarya'ya gelemeyenler, "
